alpha power seltype Ne rec mut s1 s2 h t
0.1 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.11 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.12 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.13 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.14 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.15 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.16 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.17 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.18 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.19 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.2 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.21 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.22 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.23 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.24 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
0.25 NaN 2 1e-8 1e-8 0.01 0.02 0.5 160000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.06 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.07 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.08 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.09 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.1 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.11 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.12 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.13 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.14 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.15 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.16 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.17 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.18 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.19 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.2 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.21 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.22 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.23 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.24 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
0.25 NaN 2 1e-8 1e-8 0.01 0.02 0.5 16000 NA
alpha power seltype Ne rec mut s1 s2 h t
0.01 NaN 2 1e-8 1e-8 0.01 0.02 0.5 320000 NA
0.02 NaN 2 1e-8 1e-8 0.01 0.02 0.5 320000 NA
0.03 NaN 2 1e-8 1e-8 0.01 0.02 0.5 320000 NA
0.04 NaN 2 1e-8 1e-8 0.01 0.02 0.5 320000 NA
0.05 NaN 2 1e-8 1e-8 0.01 0.02 0.5 320000 NA
0.06 NaN 2 1e-8 1e-8 0.01 0.02 0.5 320000 NA
